ckpt,calibration_name,discipline,n,accuracy
okvqa_mmmu_Health_Medicine-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Health_Medicine-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Health & Medicine,1634,26.4400
okvqa_mmmu_Health_Medicine-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Health_Medicine-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Humanities & Social Science,1157,29.0400
okvqa_mmmu_Health_Medicine-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Health_Medicine-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Tech & Engineering,1937,22.7200
okvqa_mmmu_Humanities_Social_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Humanities_Social_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,OVERALL,9702,25.6900
okvqa_mmmu_Humanities_Social_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Humanities_Social_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Art & Design,714,34.3100
okvqa_mmmu_Humanities_Social_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Humanities_Social_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Business,1369,27.2500
okvqa_mmmu_Humanities_Social_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Humanities_Social_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Science,2891,23.4500
okvqa_mmmu_Humanities_Social_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Humanities_Social_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Health & Medicine,1634,24.6000
okvqa_mmmu_Humanities_Social_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Humanities_Social_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Humanities & Social Science,1157,30.5100
okvqa_mmmu_Humanities_Social_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Humanities_Social_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Tech & Engineering,1937,22.7700
okvqa_mmmu_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,OVERALL,9702,25.3000
okvqa_mmmu_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Art & Design,714,34.5900
okvqa_mmmu_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Business,1369,24.4700
okvqa_mmmu_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Science,2891,23.2100
okvqa_mmmu_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Health & Medicine,1634,26.8700
okvqa_mmmu_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Humanities & Social Science,1157,29.3900
okvqa_mmmu_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Science-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Tech & Engineering,1937,21.8400
okvqa_mmmu_Tech_Engineering-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Tech_Engineering-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,OVERALL,9702,25.4600
okvqa_mmmu_Tech_Engineering-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Tech_Engineering-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Art & Design,714,34.3100
okvqa_mmmu_Tech_Engineering-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Tech_Engineering-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Business,1369,25.1300
okvqa_mmmu_Tech_Engineering-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Tech_Engineering-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Science,2891,22.4500
okvqa_mmmu_Tech_Engineering-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Tech_Engineering-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Health & Medicine,1634,26.6800
okvqa_mmmu_Tech_Engineering-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Tech_Engineering-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Humanities & Social Science,1157,30.4200
okvqa_mmmu_Tech_Engineering-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Tech_Engineering-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Tech & Engineering,1937,22.9200
